"";"date";"gesamt"
"797";2012-02-11;4
"798";2012-02-12;3
"799";2012-02-13;8
"800";2012-02-14;19
"801";2012-02-15;17
"802";2012-02-16;20
"803";2012-02-17;69
"804";2012-02-18;48
"805";2012-02-19;17
"806";2012-02-20;89
"807";2012-02-21;109
"808";2012-02-22;149
"809";2012-02-23;157
"810";2012-02-24;246
"811";2012-02-25;128
"812";2012-02-26;61
"813";2012-02-27;246
"814";2012-02-28;255
"815";2012-02-29;362
"816";2012-03-01;486
"817";2012-03-02;436
"818";2012-03-03;293
"819";2012-03-04;181
"820";2012-03-05;234
"821";2012-03-06;375
"822";2012-03-07;405
"823";2012-03-08;217
"824";2012-03-09;291
"825";2012-03-10;311
"826";2012-03-11;82
"827";2012-03-12;339
"828";2012-03-13;432
"829";2012-03-14;578
"830";2012-03-15;629
"831";2012-03-16;691
"832";2012-03-17;558
"833";2012-03-18;470
"834";2012-03-19;242
"835";2012-03-20;592
"836";2012-03-21;686
"837";2012-03-22;657
"838";2012-03-23;581
"839";2012-03-24;241
"840";2012-03-25;426
"841";2012-03-26;395
"842";2012-03-27;786
"843";2012-03-28;800
"844";2012-03-29;657
"845";2012-03-30;334
"846";2012-03-31;303
"847";2012-04-01;466
"848";2012-04-02;689
"849";2012-04-03;519
"850";2012-04-04;614
"851";2012-04-05;365
"852";2012-04-06;77
"853";2012-04-07;116
"854";2012-04-08;56
"855";2012-04-09;173
"856";2012-04-10;686
"857";2012-04-11;353
"858";2012-04-12;521
"859";2012-04-13;362
"860";2012-04-14;214
"861";2012-04-15;91
"862";2012-04-16;230
"863";2012-04-17;596
"864";2012-04-18;552
"865";2012-04-19;677
"866";2012-04-20;378
"867";2012-04-21;538
"868";2012-04-22;171
"869";2012-04-23;687
"870";2012-04-24;438
"871";2012-04-25;840
"872";2012-04-26;983
"873";2012-04-27;1012
"874";2012-04-28;595
"875";2012-04-29;583
"876";2012-04-30;818
"877";2012-05-01;881
"878";2012-05-02;998
"879";2012-05-03;805
"880";2012-05-04;993
"881";2012-05-05;352
"882";2012-05-06;132
"883";2012-05-07;816
"884";2012-05-08;1108
"885";2012-05-09;758
"886";2012-05-10;1098
"887";2012-05-11;1072
"888";2012-05-12;103
"889";2012-05-13;502
"890";2012-05-14;907
"891";2012-05-15;742
"892";2012-05-16;340
"893";2012-05-17;523
"894";2012-05-18;599
"895";2012-05-19;582
"896";2012-05-20;604
"897";2012-05-21;869
"898";2012-05-22;852
"899";2012-05-23;905
"900";2012-05-24;901
"901";2012-05-25;1029
"902";2012-05-26;613
"903";2012-05-27;573
"904";2012-05-28;608
"905";2012-05-29;616
"906";2012-05-30;622
"907";2012-05-31;694
"908";2012-06-01;497
"909";2012-06-02;701
"910";2012-06-03;345
"911";2012-06-04;284
"912";2012-06-05;640
"913";2012-06-06;578
"914";2012-06-07;636
"915";2012-06-08;312
"916";2012-06-09;308
"917";2012-06-10;240
"918";2012-06-11;649
"919";2012-06-12;505
"920";2012-06-13;431
"921";2012-06-14;897
"922";2012-06-15;1028
"923";2012-06-16;633
"924";2012-06-17;763
"925";2012-06-18;1032
"926";2012-06-19;866
"927";2012-06-20;780
"928";2012-06-21;885
"929";2012-06-22;908
"930";2012-06-23;608
"931";2012-06-24;637
"932";2012-06-25;435
"933";2012-06-26;1104
"934";2012-06-27;1140
"935";2012-06-28;1104
"936";2012-06-29;649
"937";2012-06-30;526
"938";2012-07-01;413
"939";2012-07-02;724
"940";2012-07-03;785
"941";2012-07-04;1046
"942";2012-07-05;999
"943";2012-07-06;893
"944";2012-07-07;547
"945";2012-07-08;668
"946";2012-07-09;860
"947";2012-07-10;1126
"948";2012-07-11;816
"949";2012-07-12;959
"950";2012-07-13;607
"951";2012-07-14;377
"952";2012-07-15;222
"953";2012-07-16;776
"954";2012-07-17;854
"955";2012-07-18;1119
"956";2012-07-19;949
"957";2012-07-20;610
"958";2012-07-21;348
"959";2012-07-22;601
"960";2012-07-23;1065
"961";2012-07-24;1269
"962";2012-07-25;1016
"963";2012-07-26;1158
"964";2012-07-27;1018
"965";2012-07-28;478
"966";2012-07-29;276
"967";2012-07-30;1065
"968";2012-07-31;1115
"969";2012-08-01;1167
"970";2012-08-02;1006
"971";2012-08-03;618
"972";2012-08-04;553
"973";2012-08-05;521
"974";2012-08-06;616
"975";2012-08-07;928
"976";2012-08-08;945
"977";2012-08-09;902
"978";2012-08-10;904
"979";2012-08-11;502
"980";2012-08-12;587
"981";2012-08-13;845
"982";2012-08-14;875
"983";2012-08-15;583
"984";2012-08-16;425
"985";2012-08-17;769
"986";2012-08-18;506
"987";2012-08-19;360
"988";2012-08-20;773
"989";2012-08-21;815
"990";2012-08-22;851
"991";2012-08-23;708
"992";2012-08-24;600
"993";2012-08-25;286
"994";2012-08-26;328
"995";2012-08-27;831
"996";2012-08-28;930
"997";2012-08-29;833
"998";2012-08-30;516
"999";2012-08-31;183
"1000";2012-09-01;125
"1001";2012-09-02;238
"1002";2012-09-03;712
"1003";2012-09-04;803
"1004";2012-09-05;743
"1005";2012-09-06;780
"1006";2012-09-07;822
"1007";2012-09-08;647
"1008";2012-09-09;616
"1009";2012-09-10;1009
"1010";2012-09-11;982
"1011";2012-09-12;337
"1012";2012-09-13;658
"1013";2012-09-14;948
"1014";2012-09-15;382
"1015";2012-09-16;680
"1016";2012-09-17;941
"1017";2012-09-18;1091
"1018";2012-09-19;380
"1019";2012-09-20;881
"1020";2012-09-21;885
"1021";2012-09-22;158
"1022";2012-09-23;661
"1023";2012-09-24;746
"1024";2012-09-25;961
"1025";2012-09-26;649
"1026";2012-09-27;531
"1027";2012-09-28;797
"1028";2012-09-29;170
"1029";2012-09-30;305
"1030";2012-10-01;694
"1031";2012-10-02;877
"1032";2012-10-03;849
"1033";2012-10-04;676
"1034";2012-10-05;746
"1035";2012-10-06;514
"1036";2012-10-07;152
"1037";2012-10-08;790
"1038";2012-10-09;330
"1039";2012-10-10;468
"1040";2012-10-11;671
"1041";2012-10-12;439
"1042";2012-10-13;400
"1043";2012-10-14;295
"1044";2012-10-15;388
"1045";2012-10-16;566
"1046";2012-10-17;675
"1047";2012-10-18;628
"1048";2012-10-19;744
"1049";2012-10-20;375
"1050";2012-10-21;476
"1051";2012-10-22;636
"1052";2012-10-23;626
"1053";2012-10-24;608
"1054";2012-10-25;733
"1055";2012-10-26;491
"1056";2012-10-27;55
"1057";2012-10-28;48
"1058";2012-10-29;225
"1059";2012-10-30;318
"1060";2012-10-31;324
"1061";2012-11-01;211
"1062";2012-11-02;368
"1063";2012-11-03;321
"1064";2012-11-04;187
"1065";2012-11-05;326
"1066";2012-11-06;282
"1067";2012-11-07;419
"1068";2012-11-08;460
"1069";2012-11-09;396
"1070";2012-11-10;292
"1071";2012-11-11;70
"1072";2012-11-12;426
"1073";2012-11-13;415
"1074";2012-11-14;528
"1075";2012-11-15;520
"1076";2012-11-16;446
"1077";2012-11-17;165
"1078";2012-11-18;239
"1079";2012-11-19;279
"1080";2012-11-20;452
"1081";2012-11-21;399
"1082";2012-11-22;324
"1083";2012-11-23;385
"1084";2012-11-24;128
"1085";2012-11-25;181
"1086";2012-11-26;443
"1087";2012-11-27;475
"1088";2012-11-28;393
"1089";2012-11-29;148
"1090";2012-11-30;178
"1091";2012-12-01;105
"1092";2012-12-02;54
"1093";2012-12-03;134
"1094";2012-12-04;154
"1095";2012-12-05;197
"1096";2012-12-06;55
"1097";2012-12-07;11
"1098";2012-12-08;22
"1099";2012-12-09;18
"1100";2012-12-10;27
"1101";2012-12-11;2
