"";"date";"gesamt"
"698";2013-06-11;3381
"699";2013-06-12;4984
"700";2013-06-13;5454
"701";2013-06-14;3287
"702";2013-06-15;3641
"703";2013-06-16;3381
"704";2013-06-17;5299
"705";2013-06-18;5388
"706";2013-06-19;5493
"707";2013-06-20;4653
"708";2013-06-21;4300
"709";2013-06-22;1935
"710";2013-06-23;1693
"711";2013-06-24;1916
"712";2013-06-25;2597
"713";2013-06-26;3275
"714";2013-06-27;3093
"715";2013-06-28;3257
"716";2013-06-29;1253
"717";2013-06-30;2167
"718";2013-07-01;4811
"719";2013-07-02;5680
"720";2013-07-03;3216
"721";2013-07-04;3708
"722";2013-07-05;4203
"723";2013-07-06;3518
"724";2013-07-07;3117
"725";2013-07-08;5251
"726";2013-07-09;5618
"727";2013-07-10;5360
"728";2013-07-11;5071
"729";2013-07-12;4975
"730";2013-07-13;3581
"731";2013-07-14;3336
"732";2013-07-15;5258
"733";2013-07-16;5628
"734";2013-07-17;5896
"735";2013-07-18;5453
"736";2013-07-19;5334
"737";2013-07-20;3619
"738";2013-07-21;3375
"739";2013-07-22;5523
"740";2013-07-23;5565
"741";2013-07-24;4521
"742";2013-07-25;5369
"743";2013-07-26;5373
"744";2013-07-27;3496
"745";2013-07-28;2637
"746";2013-07-29;3025
"747";2013-07-30;4553
"748";2013-07-31;4842
"749";2013-08-01;5166
"750";2013-08-02;4839
"751";2013-08-03;3210
"752";2013-08-04;2594
"753";2013-08-05;4830
"754";2013-08-06;4233
"755";2013-08-07;3973
"756";2013-08-08;3979
"757";2013-08-09;1800
"758";2013-08-10;3053
"759";2013-08-11;2577
"760";2013-08-12;4252
"761";2013-08-13;3531
"762";2013-08-14;3770
"763";2013-08-15;2597
"764";2013-08-16;3611
"765";2013-08-17;2767
"766";2013-08-18;2363
"767";2013-08-19;1857
"768";2013-08-20;3448
"769";2013-08-21;3902
"770";2013-08-22;3933
"771";2013-08-23;3530
"772";2013-08-24;2587
"773";2013-08-25;460
"774";2013-08-26;2881
"775";2013-08-27;2081
"776";2013-08-28;2877
"777";2013-08-29;3494
"778";2013-08-30;3595
"779";2013-08-31;2641
"780";2013-09-01;1219
"781";2013-09-02;3023
"782";2013-09-03;3972
"783";2013-09-04;4284
"784";2013-09-05;4273
"785";2013-09-06;4150
"786";2013-09-07;3054
"787";2013-09-08;1890
"788";2013-09-09;3061
"789";2013-09-10;2185
"790";2013-09-11;3134
"791";2013-09-12;1728
"792";2013-09-13;2327
"793";2013-09-14;1600
"794";2013-09-15;1706
"795";2013-09-16;2089
"796";2013-09-17;2742
"797";2013-09-18;1511
"798";2013-09-19;2817
"799";2013-09-20;2722
"800";2013-09-21;2700
"801";2013-09-22;2793
"802";2013-09-23;4075
"803";2013-09-24;4369
"804";2013-09-25;4383
"805";2013-09-26;2404
"806";2013-09-27;3136
"807";2013-09-28;2460
"808";2013-09-29;1811
"809";2013-09-30;3175
"810";2013-10-01;3214
"811";2013-10-02;3447
"812";2013-10-03;2112
"813";2013-10-04;2555
"814";2013-10-05;799
"815";2013-10-06;1799
"816";2013-10-07;3020
"817";2013-10-08;2936
"818";2013-10-09;2523
"819";2013-10-10;1214
"820";2013-10-11;1303
"821";2013-10-12;1224
"822";2013-10-13;1348
"823";2013-10-14;2461
"824";2013-10-15;1531
"825";2013-10-16;2033
"826";2013-10-17;2605
"827";2013-10-18;2721
"828";2013-10-19;2289
"829";2013-10-20;1799
"830";2013-10-21;3151
"831";2013-10-22;3396
"832";2013-10-23;2369
"833";2013-10-24;3263
"834";2013-10-25;3494
"835";2013-10-26;2727
"836";2013-10-27;1297
"837";2013-10-28;3145
"838";2013-10-29;1506
"839";2013-10-30;1963
"840";2013-10-31;2204
"841";2013-11-01;1041
"842";2013-11-02;1350
"843";2013-11-03;643
"844";2013-11-04;2793
"845";2013-11-05;2817
"846";2013-11-06;1696
"847";2013-11-07;3051
"848";2013-11-08;3059
"849";2013-11-09;1417
"850";2013-11-10;529
"851";2013-11-11;2173
"852";2013-11-12;2363
"853";2013-11-13;2276
"854";2013-11-14;1947
"855";2013-11-15;1950
"856";2013-11-16;1193
"857";2013-11-17;755
"858";2013-11-18;2629
"859";2013-11-19;2189
"860";2013-11-20;1869
"861";2013-11-21;2184
"862";2013-11-22;2113
"863";2013-11-23;620
